"month","variable","inflow","outflow","total_flow","net_flow","lat","lon","capacity"
1,"1 Ave & E 16 St",3.4416734805124,3.62905423821205,7.07072771872445,-0.187380757699646,40.73221853,-73.98165557,54
1,"11 Ave & W 41 St",3.64595257563369,3.75129463068956,7.39724720632325,-0.105342055055873,40.76030096,-73.99884222,55
1,"2 Ave & E 31 St",3.50913055328427,3.6414554374489,7.15058599073317,-0.132324884164623,40.74290902,-73.97706058,57
1,"6 Ave & W 33 St",4.7070046334151,4.9869174161897,9.6939220496048,-0.279912782774598,40.74901271,-73.98848395,78
1,"9 Ave & W 18 St",1.94712455710003,1.88566366857454,3.83278822567457,0.0614608885254839,40.74317449,-74.00366443,84
1,"Allen St & Rivington St",2.86549468520033,3.00327064595258,5.8687653311529,-0.137775960752248,40.72019576,-73.98997825,42
1,"Atlantic Ave & Fort Greene Pl",1.03747615153993,1.04783319705642,2.08530934859635,-0.0103570455164896,40.68382604,-73.97632328,62
1,"Bank St & Washington St",1.67879531207413,1.73957481602617,3.4183701281003,-0.0607795039520307,40.7361967,-74.00859207,31
1,"Bayard St & Baxter St",2.08340147179068,2.13573180703189,4.21913327882257,-0.0523303352412099,40.71602118,-73.99974372,43
1,"Broadway & W 29 St",3.53243390569637,3.68206595802671,7.21449986372309,-0.149632052330335,40.7462009,-73.98855723,101
1,"Broadway & W 41 St",3.50109021531753,3.816298718997,7.31738893431453,-0.315208503679477,40.75513557,-73.98658032,55
1,"Broadway & W 51 St",2.40733169801036,2.61692559280458,5.02425729081494,-0.209593894794222,40.76228826,-73.98336183,78
1,"Broadway & W 58 St",2.9009266830199,3.17661488143908,6.07754156445898,-0.275688198419188,40.76695317,-73.98169333,79
1,"Catherine St & Monroe St",1.40283455982557,1.42491142000545,2.82774597983102,-0.0220768601798855,40.71117444,-73.99682619,35
1,"Christopher St & Greenwich St",4.075769964568,4.1967838648133,8.2725538293813,-0.121013900245298,40.73291553,-74.00711384,74
1,"Clermont Ave & Lafayette Ave",0.618015808122104,0.749250476969201,1.36726628509131,-0.131234668847097,40.68764484,-73.96968902,51
1,"Cleveland Pl & Spring St",4.23235213954756,4.37080948487326,8.60316162442082,-0.138457345325702,40.722103786686,-73.997249007225,33
1,"Division St & Bowery",2.00885799945489,2.01430907604252,4.02316707549741,-0.00545107658762589,40.714193,-73.996732,49
1,"E 20 St & 2 Ave",3.51798855273917,3.72376669392205,7.24175524666122,-0.205778141182884,40.73587678,-73.98205027,84
1,"E 20 St & Park Ave",3.10288907059144,3.19378577269011,6.29667484328155,-0.0908967020986644,40.73827428,-73.98751968,45
1,"E 39 St & 2 Ave",3.18710820387026,3.37953120741346,6.56663941128373,-0.1924230035432,40.7480331942877,-73.973827958107,31
1,"E 4 St & 2 Ave",3.1340964840556,3.17879531207413,6.31289179612974,-0.0446988280185336,40.7262807,-73.98978041,78
1,"E 51 St & 1 Ave",1.40610520577814,1.45489234123739,2.86099754701554,-0.0487871354592533,40.75455731,-73.96592976,35
1,"Emerson Pl & Myrtle Ave",0.924502589261379,0.977241755246661,1.90174434450804,-0.0527391659852822,40.69363137,-73.96223558,63
1,"Forsyth St & Broome St",2.72894521668029,2.81275551921504,5.54170073589534,-0.0838103025347503,40.71893904,-73.99266288,66
1,"Forsyth St & Canal St",2.25470155355683,2.35895339329518,4.613654946852,-0.104251839738348,40.7158155,-73.99422366,29
1,"Greenwich Ave & Charles St",2.20973017170891,2.24407195421096,4.45380212591987,-0.0343417825020444,40.735238,-74.000271,57
1,"Greenwich St & W Houston St",2.13668574543472,2.15481057508858,4.2914963205233,-0.018124829653857,40.728846,-74.008591,80
1,"Hancock St & Bedford Ave",0.431180158081221,0.484191877895884,0.915372035977105,-0.0530117198146633,40.68216564,-73.95399026,27
1,"Hicks St & Montague St",1.15508312891796,1.27964022894522,2.43472335786318,-0.124557100027255,40.69512845,-73.99595065,20
1,"Little West St & 1 Pl",1.86031616244208,1.95489234123739,3.81520850367948,-0.0945761787953121,40.70569254,-74.01677685,35
1,"Macon St & Nostrand Ave",0.910466067048242,0.959253202507495,1.86971926955574,-0.0487871354592532,40.6809833854,-73.9500479759,24
1,"Madison St & Clinton St",1.37149086944672,1.42218588171164,2.79367675115835,-0.0506950122649221,40.71269042,-73.98776323,39
1,"Mercer St & Spring St",2.05560098119379,1.9912782774598,4.04687925865358,0.0643227037339875,40.72362738,-73.99949601,67
1,"Mott St & Prince St",2.69078768056691,2.72499318615427,5.41578086672118,-0.0342055055873534,40.72317958,-73.99480012,39
1,"Perry St & Bleecker St",1.8950667756882,1.94698828018534,3.84205505587354,-0.0519215044971382,40.73535398,-74.00483091,77
1,"Pike St & E Broadway",1.89983646770237,1.98487326246934,3.88470973017171,-0.0850367947669666,40.71406667,-73.99293911,34
1,"S 3 St & Bedford Ave",1.26015263014445,1.41087489779231,2.67102752793677,-0.150722267647861,40.71260486,-73.96264403,25
1,"S 5 Pl & S 5 St",1.63000817661488,1.74952303079858,3.37953120741346,-0.119514854183701,40.710451,-73.960876,43
1,"St James Pl & Pearl St",0.802943581357318,0.818206595802671,1.62115017715999,-0.0152630144453531,40.71117416,-74.00016545,27
1,"St Marks Pl & 2 Ave",3.30376124284546,3.36890160806759,6.67266285091306,-0.0651403652221312,40.7284186,-73.98713956,73
1,"State St & Smith St",1.06677568819842,1.09157808667212,2.15835377487054,-0.0248023984736985,40.68917,-73.9886,66
1,"Suffolk St & Stanton St",2.88443717634233,3.0204415372036,5.90487871354592,-0.13600436086127,40.72066442,-73.98517977,79
