"weekday","variable","inflow","outflow","total_flow","net_flow","lat","lon","capacity"
"Friday","1 Ave & E 16 St",5.47285477897723,5.88621858009613,11.3590733590734,-0.413363801118903,40.73221853,-73.98165557,54
"Friday","11 Ave & W 41 St",6.56867071152785,6.96769364116303,13.5363643526909,-0.399022929635175,40.76030096,-73.99884222,55
"Friday","2 Ave & E 31 St",5.75919943266882,6.13875975100465,11.8979591836735,-0.379560318335828,40.74290902,-73.97706058,57
"Friday","6 Ave & W 33 St",8.2190528721141,8.51170120557876,16.7307540776929,-0.29264833346466,40.74901271,-73.98848395,78
"Friday","9 Ave & W 18 St",4.29777007328028,4.26388779450004,8.56165786778032,0.0338822787802382,40.74317449,-74.00366443,84
"Friday","Allen St & Rivington St",5.37727523441809,5.60176503033646,10.9790402647546,-0.224489795918368,40.72019576,-73.98997825,42
"Friday","Atlantic Ave & Fort Greene Pl",2.06760696556615,1.99653297612481,4.06413994169096,0.0710739894413364,40.68382604,-73.97632328,62
"Friday","Bank St & Washington St",3.23772752344181,3.4103695532267,6.64809707666851,-0.172642029784887,40.7361967,-74.00859207,31
"Friday","Bayard St & Baxter St",3.74864076904893,3.86990780868332,7.61854857773225,-0.121267039634386,40.71602118,-73.99974372,43
"Friday","Broadway & W 29 St",6.30194626112993,6.51390749349933,12.8158537546293,-0.211961232369395,40.7462009,-73.98855723,101
"Friday","Broadway & W 41 St",6.30903790087464,6.92671972263809,13.2357576235127,-0.617681821763455,40.75513557,-73.98658032,55
"Friday","Broadway & W 51 St",4.28287762981641,4.6781971475849,8.96107477740131,-0.395319517768497,40.76228826,-73.98336183,78
"Friday","Broadway & W 58 St",5.86281616893862,6.29934599322354,12.1621621621622,-0.436529824284926,40.76695317,-73.98169333,79
"Friday","Catherine St & Monroe St",2.23134504767158,2.35655188716413,4.58789693483571,-0.125206839492554,40.71117444,-73.99682619,35
"Friday","Christopher St & Greenwich St",7.90560239539831,8.2362303994957,16.141832794894,-0.330628004097391,40.73291553,-74.00711384,74
"Friday","Clermont Ave & Lafayette Ave",1.0894334567804,1.29162398550154,2.38105744228193,-0.202190528721141,40.68764484,-73.96968902,51
"Friday","Cleveland Pl & Spring St",8.68221574344023,8.96068079741549,17.6428965408557,-0.278465053975259,40.722103786686,-73.997249007225,33
"Friday","Division St & Bowery",3.2878417776377,3.38019068631314,6.66803246395083,-0.0923489086754397,40.714193,-73.996732,49
"Friday","E 20 St & 2 Ave",5.53384288078166,6.07493499330234,11.608777874084,-0.541092112520684,40.73587678,-73.98205027,84
"Friday","E 20 St & Park Ave",4.94106059412182,5.0862028208967,10.0272634150185,-0.14514222677488,40.73827428,-73.98751968,45
"Friday","E 39 St & 2 Ave",5.75037428098653,6.17185406981325,11.9222283507998,-0.421479788826728,40.7480331942877,-73.973827958107,31
"Friday","E 4 St & 2 Ave",4.86754392876842,4.97045150106375,9.83799542983216,-0.102907572295328,40.7262807,-73.98978041,78
"Friday","E 51 St & 1 Ave",2.61539673784572,2.8213694744307,5.43676621227642,-0.205972736584981,40.75455731,-73.96592976,35
"Friday","Emerson Pl & Myrtle Ave",1.6315499172642,1.79410605941218,3.42565597667638,-0.162556142147979,40.69363137,-73.96223558,63
"Friday","Forsyth St & Broome St",4.61374202190529,4.70041761878497,9.31415964069025,-0.0866755968796777,40.71893904,-73.99266288,66
"Friday","Forsyth St & Canal St",4.0292333149476,4.19446852099913,8.22370183594673,-0.165235206051532,40.7158155,-73.99422366,29
"Friday","Greenwich Ave & Charles St",4.42006146087779,4.56646442360728,8.98652588448507,-0.146402962729494,40.735238,-74.000271,57
"Friday","Greenwich St & W Houston St",4.66306831612954,4.6678748719565,9.33094318808605,-0.00480655582696432,40.728846,-74.008591,80
"Friday","Hancock St & Bedford Ave",0.842801985659129,0.956268221574344,1.79907020723347,-0.113466235915215,40.68216564,-73.95399026,27
"Friday","Hicks St & Montague St",1.85257268930738,2.12079426365141,3.97336695295879,-0.268221574344023,40.69512845,-73.99595065,20
"Friday","Little West St & 1 Pl",4.42352848475297,4.69513828697502,9.118666771728,-0.271609802222047,40.70569254,-74.01677685,35
"Friday","Macon St & Nostrand Ave",1.46938775510204,1.52856354897171,2.99795130407375,-0.0591757938696713,40.6809833854,-73.9500479759,24
"Friday","Madison St & Clinton St",2.00133953195178,2.18635253329131,4.18769206524309,-0.185013001339532,40.71269042,-73.98776323,39
"Friday","Mercer St & Spring St",4.24844377905602,4.0956583405563,8.34410211961232,0.152785438499724,40.72362738,-73.99949601,67
"Friday","Mott St & Prince St",5.48104956268222,5.5960917185407,11.0771412812229,-0.115042155858482,40.72317958,-73.99480012,39
"Friday","Perry St & Bleecker St",3.51051926562131,3.63052556930108,7.14104483492239,-0.120006303679773,40.73535398,-74.00483091,77
"Friday","Pike St & E Broadway",2.85351824127334,3.00433377984398,5.85785202111733,-0.150815538570641,40.71406667,-73.99293911,34
"Friday","S 3 St & Bedford Ave",2.59751004648964,2.80017335119376,5.3976833976834,-0.202663304704121,40.71260486,-73.96264403,25
"Friday","S 5 Pl & S 5 St",2.84020171775274,2.99015050035458,5.83035221810732,-0.149948782601844,40.710451,-73.960876,43
"Friday","St James Pl & Pearl St",1.3218028524151,1.40524781341108,2.72705066582618,-0.0834449609959813,40.71117416,-74.00016545,27
"Friday","St Marks Pl & 2 Ave",5.83539516192577,5.91545189504373,11.7508470569695,-0.0800567331179574,40.7284186,-73.98713956,73
"Friday","State St & Smith St",1.8766054684422,1.88976439996848,3.76636986841068,-0.0131589315262786,40.68917,-73.9886,66
